Elapsed,Reward
0.211071,-500.0
0.393472,-500.0
0.561927,-500.0
0.757027,-500.0
0.990689,-500.0
1.242478,-500.0
1.423137,-500.0
1.702431,-500.0
1.929147,-484.0
2.179685,-500.0
2.376315,-500.0
2.562051,-500.0
2.732967,-500.0
2.877056,-387.0
3.143824,-474.0
3.354921,-500.0
3.526837,-500.0
3.700533,-500.0
3.790907,-236.0
3.982634,-461.0
4.199225,-449.0
4.432406,-500.0
4.675381,-500.0
4.969977,-500.0
5.163868,-500.0
5.336132,-500.0
5.600943,-500.0
5.890299,-500.0
6.069321,-440.0
6.170151,-294.0
6.280087,-300.0
6.474857,-321.0
6.673426,-334.0
6.920874,-411.0
7.094805,-295.0
7.171992,-205.0
7.297707,-358.0
7.430922,-314.0
7.622816,-316.0
7.698739,-214.0
7.769443,-204.0
7.82254,-153.0
8.012826,-393.0
8.160241,-244.0
8.276907,-232.0
8.377805,-187.0
8.586,-377.0
8.695086,-200.0
8.787914,-155.0
8.92561,-248.0
8.982588,-148.0
9.037267,-151.0
9.078645,-112.0
9.173341,-201.0
9.250702,-138.0
9.305251,-148.0
9.364533,-171.0
9.413828,-130.0
9.473165,-166.0
9.563329,-184.0
9.651243,-146.0
9.732385,-160.0
9.80086,-133.0
9.877243,-167.0
9.995058,-260.0
10.061525,-108.0
10.17657,-270.0
10.245579,-112.0
10.33119,-150.0
10.419569,-150.0
10.462262,-123.0
10.524708,-143.0
10.565076,-118.0
10.610247,-127.0
10.690833,-154.0
10.812396,-216.0
10.898548,-151.0
10.931872,-96.0
10.976464,-109.0
11.014721,-112.0
11.051967,-99.0
11.116654,-180.0
11.150526,-90.0
11.206453,-91.0
11.266032,-98.0
11.351763,-177.0
11.390904,-109.0
11.422632,-88.0
11.464261,-116.0
11.498472,-99.0
11.556589,-117.0
11.652003,-158.0
11.697936,-76.0
11.776131,-130.0
11.837851,-102.0
11.919833,-170.0
11.956639,-107.0
12.033379,-131.0
12.081014,-114.0
12.123588,-110.0
12.181048,-92.0
12.248136,-109.0
12.31083,-103.0
12.37786,-150.0
12.4373,-154.0
12.502471,-143.0
12.547345,-121.0
12.595674,-128.0
12.635315,-106.0
12.670207,-98.0
12.700286,-86.0
12.775401,-133.0
12.889125,-188.0
12.936617,-101.0
12.972629,-98.0
13.032589,-175.0
13.079245,-126.0
13.11174,-93.0
13.154417,-90.0
13.196815,-100.0
13.233005,-102.0
13.280985,-138.0
13.329733,-123.0
13.386786,-93.0
13.434494,-80.0
13.472876,-94.0
13.509353,-89.0
13.555451,-126.0
13.602,-133.0
13.66527,-129.0
13.723605,-95.0
13.812734,-208.0
13.852909,-86.0
13.900379,-89.0
13.945862,-75.0
14.086924,-234.0
14.135611,-79.0
14.194195,-97.0
14.275376,-135.0
14.342804,-110.0
14.40783,-107.0
14.490494,-136.0
14.537247,-77.0
14.612627,-123.0
14.668206,-91.0
14.706984,-93.0
14.735071,-78.0
14.761939,-78.0
14.802416,-119.0
14.844785,-111.0
14.876443,-89.0
14.910283,-96.0
14.940166,-85.0
14.999217,-166.0
15.039519,-116.0
15.072704,-90.0
15.105967,-94.0
15.146513,-106.0
15.186095,-103.0
15.219726,-94.0
15.2587,-107.0
15.291359,-92.0
15.322453,-84.0
15.374124,-106.0
15.41087,-89.0
15.457788,-133.0
15.509605,-136.0
15.555472,-84.0
15.593347,-113.0
15.619172,-71.0
15.650303,-90.0
15.684386,-99.0
15.713318,-84.0
15.750161,-104.0
15.780065,-85.0
15.815715,-104.0
15.847645,-87.0
15.890975,-124.0
15.926226,-103.0
15.953507,-80.0
16.004559,-141.0
16.033564,-84.0
16.072076,-101.0
16.130538,-101.0
16.17186,-118.0
16.20639,-97.0
16.25186,-80.0
16.297607,-76.0
16.350758,-87.0
16.404484,-89.0
16.492713,-147.0
16.520512,-73.0
16.555353,-93.0
16.58592,-82.0
16.617538,-92.0
16.680128,-157.0
16.74092,-102.0
16.796129,-92.0
16.840039,-73.0
16.887096,-114.0
16.916385,-64.0
16.956545,-114.0
16.979425,-65.0
17.01979,-110.0
17.0552,-87.0
17.102129,-94.0
17.148335,-89.0
17.180418,-87.0
17.219139,-88.0
17.255487,-76.0
17.291962,-84.0
17.32746,-95.0
17.35156,-66.0
17.378499,-73.0
17.405307,-74.0
17.435218,-86.0
17.471582,-105.0
17.509594,-107.0
17.569429,-99.0
17.621061,-85.0
17.678375,-114.0
17.704251,-74.0
17.735224,-74.0
17.770423,-97.0
17.804202,-99.0
17.848641,-123.0
17.886186,-99.0
17.921534,-103.0
17.952192,-89.0
17.995049,-114.0
18.03096,-103.0
18.059116,-79.0
18.083844,-70.0
18.110757,-76.0
18.138569,-81.0
18.186443,-96.0
18.227537,-101.0
18.260604,-96.0
18.296674,-104.0
18.331522,-81.0
18.367554,-105.0
18.398873,-90.0
18.433079,-97.0
18.47134,-110.0
18.497722,-75.0
18.530178,-92.0
18.56216,-73.0
18.590941,-84.0
18.630541,-75.0
18.681342,-84.0
18.730926,-83.0
18.778059,-79.0
18.828937,-85.0
18.877724,-82.0
18.938537,-102.0
18.995033,-95.0
19.046604,-86.0
19.102428,-135.0
19.124699,-65.0
19.159049,-93.0
19.210645,-151.0
19.237855,-79.0
19.277301,-112.0
19.317262,-117.0
19.346919,-83.0
19.390326,-120.0
19.422506,-92.0
19.452554,-84.0
19.478385,-74.0
19.502244,-64.0
19.533175,-86.0
19.56932,-103.0
19.603396,-96.0
19.634181,-85.0
19.659411,-73.0
19.687173,-74.0
19.730906,-71.0
19.774331,-96.0
19.803072,-83.0
19.827392,-71.0
19.862281,-81.0
19.893705,-90.0
19.926189,-95.0
19.957647,-86.0
19.991543,-96.0
20.028696,-107.0
20.057078,-82.0
20.091989,-79.0
20.116757,-68.0
20.149186,-93.0
20.186209,-106.0
20.221275,-97.0
20.257228,-96.0
20.294106,-108.0
20.328093,-94.0
20.354706,-77.0
20.384589,-88.0
20.421682,-103.0
20.462813,-114.0
20.496713,-97.0
20.528206,-89.0
20.559281,-88.0
20.585435,-76.0
20.611473,-74.0
20.636873,-73.0
20.676589,-94.0
20.723214,-133.0
20.751904,-81.0
20.787997,-101.0
20.81482,-73.0
20.845946,-90.0
20.878832,-94.0
20.907071,-76.0
20.945093,-108.0
20.980075,-102.0
21.022015,-102.0
21.05759,-100.0
21.088416,-91.0
21.118023,-84.0
21.144567,-73.0
21.174703,-86.0
21.198929,-69.0
21.233103,-99.0
21.267901,-97.0
21.29046,-65.0
21.327196,-105.0
21.369785,-123.0
21.392692,-63.0
21.445714,-96.0
21.497477,-85.0
21.549997,-86.0
21.598314,-79.0
21.642321,-80.0
21.672615,-89.0
21.715775,-102.0
21.772708,-94.0
21.844076,-118.0
21.895429,-85.0
21.955746,-100.0
22.006648,-84.0
22.058164,-85.0
22.106548,-79.0
22.159372,-91.0
22.192951,-97.0
22.226014,-75.0
22.260638,-101.0
22.286659,-74.0
22.31437,-77.0
22.344125,-82.0
22.378926,-72.0
22.40573,-65.0
22.442573,-90.0
22.47204,-83.0
22.619464,-421.0
22.651617,-92.0
22.688764,-81.0
22.720549,-90.0
22.745584,-73.0
22.784041,-110.0
22.839736,-101.0
22.895382,-94.0
22.941139,-74.0
22.987765,-77.0
23.031563,-72.0
23.083572,-86.0
23.14179,-96.0
23.190062,-78.0
23.234222,-73.0
23.283158,-81.0
23.356374,-121.0
23.418596,-103.0
23.466417,-79.0
23.515408,-81.0
23.567958,-86.0
23.635081,-112.0
23.674455,-64.0
23.72665,-91.0
23.761236,-103.0
23.819442,-172.0
23.850147,-91.0
23.900735,-147.0
23.933896,-98.0
23.962635,-85.0
23.989346,-77.0
24.024463,-104.0
24.047961,-68.0
24.076394,-84.0
24.112149,-105.0
24.13859,-77.0
24.170499,-92.0
24.202323,-93.0
24.227498,-73.0
24.263551,-105.0
24.293304,-88.0
24.320185,-78.0
24.356074,-103.0
24.389246,-97.0
24.417458,-81.0
24.44032,-66.0
24.471306,-89.0
24.50577,-97.0
24.528566,-65.0
24.55435,-75.0
24.578086,-69.0
24.610824,-96.0
24.640266,-84.0
24.665083,-73.0
24.69525,-87.0
24.757877,-184.0
24.806738,-144.0
24.838409,-93.0
24.868648,-87.0
24.89776,-85.0
24.933732,-106.0
24.962439,-84.0
24.997672,-102.0
25.028373,-88.0
25.063511,-101.0
25.098761,-100.0
25.135005,-104.0
25.240628,-259.0
25.265958,-72.0
25.293727,-79.0
25.320727,-79.0
25.371521,-101.0
25.416848,-99.0
25.44266,-71.0
25.480558,-106.0
25.509082,-84.0
25.536582,-77.0
25.563668,-79.0
25.611431,-139.0
25.644901,-97.0
25.677611,-95.0
25.703434,-76.0
25.733276,-85.0
25.765772,-93.0
25.797169,-92.0
25.822706,-72.0
25.856833,-100.0
25.885622,-84.0
25.908183,-65.0
25.951569,-111.0
25.983398,-65.0
26.014713,-91.0
26.04477,-89.0
26.113499,-130.0
26.227768,-190.0
26.283264,-118.0
26.314155,-88.0
26.356313,-122.0
26.391875,-81.0
26.453859,-110.0
26.486141,-90.0
26.524935,-78.0
26.583241,-96.0
26.658429,-124.0
26.772443,-189.0
26.828954,-93.0
26.866401,-85.0
26.900012,-96.0
26.937706,-100.0
26.97763,-109.0
27.009945,-91.0
27.047663,-107.0
27.078304,-87.0
27.113178,-97.0
27.144127,-87.0
27.176431,-91.0
27.213647,-106.0
27.246222,-92.0
27.271595,-72.0
27.317957,-98.0
27.372499,-89.0
27.439451,-111.0
27.505742,-110.0
27.571105,-108.0
27.625367,-89.0
27.683187,-95.0
27.763643,-135.0
27.824163,-100.0
27.897656,-122.0
27.9492,-112.0
27.979101,-85.0
28.029727,-151.0
28.171328,-252.0
28.231225,-122.0
28.287756,-98.0
28.335527,-77.0
28.395955,-153.0
28.449182,-148.0
28.484055,-100.0
28.521815,-108.0
28.567762,-133.0
28.606791,-116.0
28.661715,-157.0
28.72004,-128.0
28.75582,-90.0
28.790634,-102.0
28.826546,-101.0
28.879212,-107.0
28.918355,-98.0
28.982126,-106.0
29.042247,-99.0
29.102978,-101.0
29.157253,-90.0
29.210489,-85.0
29.269441,-95.0
29.335039,-111.0
29.366416,-85.0
29.41376,-88.0
29.443357,-69.0
29.490382,-109.0
29.554959,-143.0
29.593963,-80.0
29.642171,-101.0
29.681472,-95.0
29.716285,-91.0
29.782993,-164.0
29.936405,-286.0
29.963088,-78.0
29.998116,-103.0
30.034742,-108.0
30.076394,-122.0
30.115748,-107.0
30.153725,-111.0
30.181214,-79.0
30.228388,-139.0
30.256045,-74.0
30.298476,-122.0
30.332889,-100.0
30.366709,-96.0
30.42024,-154.0
30.458781,-112.0
