Elapsed,Reward
0.209417,-500.0
0.40421,-500.0
0.697487,-500.0
0.976206,-500.0
1.210689,-500.0
1.451083,-500.0
1.660566,-500.0
1.867078,-412.0
2.068904,-500.0
2.358226,-500.0
2.524382,-258.0
2.777557,-500.0
3.027901,-500.0
3.234897,-500.0
3.437548,-500.0
3.637996,-500.0
3.897119,-500.0
4.110495,-500.0
4.291622,-500.0
4.576689,-500.0
4.798818,-500.0
5.022412,-500.0
5.233117,-362.0
5.411358,-500.0
5.585483,-413.0
5.800904,-500.0
6.070359,-500.0
6.228392,-341.0
6.350525,-310.0
6.543549,-447.0
6.67011,-313.0
6.787154,-196.0
6.899454,-215.0
7.111053,-464.0
7.272224,-248.0
7.448399,-281.0
7.592191,-333.0
7.718309,-208.0
7.882432,-347.0
8.116994,-463.0
8.224512,-290.0
8.322737,-262.0
8.489905,-249.0
8.6666,-393.0
8.809826,-332.0
8.958182,-240.0
9.082947,-285.0
9.162628,-215.0
9.28777,-195.0
9.38373,-170.0
9.518177,-212.0
9.569872,-128.0
9.619037,-119.0
9.682419,-150.0
9.752621,-152.0
9.84729,-143.0
9.937774,-134.0
10.031757,-169.0
10.074818,-113.0
10.157648,-135.0
10.222205,-144.0
10.285722,-138.0
10.347906,-161.0
10.409366,-137.0
10.477738,-175.0
10.530397,-112.0
10.564002,-88.0
10.61525,-138.0
10.660624,-112.0
10.699109,-101.0
10.746049,-106.0
10.776886,-81.0
10.820301,-111.0
10.877585,-128.0
10.963835,-157.0
11.036914,-110.0
11.091922,-116.0
11.144608,-139.0
11.189233,-115.0
11.242413,-131.0
11.293889,-104.0
11.336027,-107.0
11.389189,-132.0
11.448748,-130.0
11.528333,-124.0
11.57496,-102.0
11.641335,-180.0
11.69842,-127.0
11.745593,-93.0
11.782411,-92.0
11.829279,-122.0
11.880415,-128.0
11.922159,-84.0
11.960425,-101.0
12.003782,-107.0
12.045382,-91.0
12.084586,-97.0
12.122645,-103.0
12.187182,-122.0
12.230549,-103.0
12.272303,-104.0
12.319027,-126.0
12.395793,-120.0
12.46079,-108.0
12.502548,-85.0
12.551028,-127.0
12.594113,-114.0
12.655406,-148.0
12.708651,-113.0
12.756327,-120.0
12.799626,-116.0
12.833248,-88.0
12.877456,-110.0
12.913032,-89.0
12.982605,-164.0
