Elapsed,Reward
0.009432,47.0
0.012964,19.0
0.018465,31.0
0.023472,28.0
0.030635,24.0
0.034291,11.0
0.041219,23.0
0.05493,45.0
0.058837,12.0
0.065622,22.0
0.076807,37.0
0.08383,22.0
0.095991,42.0
0.108186,40.0
0.118474,34.0
0.123956,17.0
0.128979,19.0
0.13512,35.0
0.142075,23.0
0.149144,23.0
0.153022,13.0
0.158522,17.0
0.166954,27.0
0.176675,32.0
0.182196,19.0
0.187689,17.0
0.194115,22.0
0.197411,10.0
0.210491,44.0
0.217069,21.0
0.227465,35.0
0.233667,21.0
0.241567,39.0
0.245536,22.0
0.248294,15.0
0.253752,31.0
0.258751,28.0
0.264671,33.0
0.27339,50.0
0.280897,31.0
0.291655,36.0
0.298732,24.0
0.308675,32.0
0.31315,15.0
0.321769,29.0
0.332435,34.0
0.338993,21.0
0.350584,40.0
0.356667,19.0
0.365517,30.0
0.376142,34.0
0.386618,35.0
0.392901,21.0
0.403125,35.0
0.409966,22.0
0.419663,32.0
0.434665,50.0
0.449355,50.0
0.460926,38.0
0.473253,40.0
0.482236,28.0
0.497041,49.0
0.502867,18.0
0.514846,39.0
0.52065,18.0
0.528665,25.0
0.538118,31.0
0.547729,31.0
0.550787,9.0
0.56067,50.0
0.574776,50.0
0.588488,46.0
0.595978,34.0
0.599643,18.0
0.608849,46.0
0.61579,34.0
0.620703,21.0
0.628101,30.0
0.633412,25.0
0.645499,50.0
0.648336,15.0
0.653531,27.0
0.662877,50.0
0.672035,50.0
0.678251,33.0
0.682547,24.0
0.6875,28.0
0.692671,27.0
0.695607,16.0
0.702263,36.0
0.711531,50.0
0.719064,43.0
0.722021,16.0
0.731285,50.0
0.740025,50.0
0.747416,40.0
0.756456,50.0
0.764246,40.0
0.777551,43.0
0.784672,24.0
0.791298,21.0
0.806232,50.0
0.819026,43.0
0.830287,50.0
0.839383,50.0
0.846761,42.0
0.852445,30.0
0.861874,50.0
0.868583,37.0
0.877511,47.0
0.886482,47.0
0.891637,27.0
0.897857,31.0
0.90758,50.0
0.913281,32.0
0.920798,37.0
0.930565,50.0
0.939641,48.0
0.944126,25.0
0.951792,44.0
0.961255,50.0
0.967078,33.0
0.976162,50.0
0.983849,40.0
0.993314,50.0
1.003109,50.0
1.012228,50.0
1.016854,24.0
1.026243,50.0
1.034145,41.0
1.040474,36.0
1.048697,43.0
1.05774,50.0
1.067107,50.0
1.073124,34.0
1.082538,50.0
1.09193,50.0
1.101353,50.0
1.110434,50.0
1.116424,34.0
1.125546,50.0
1.13088,28.0
1.139899,50.0
1.148458,49.0
1.157501,50.0
1.165895,46.0
1.174592,50.0
1.183638,50.0
1.192703,50.0
1.20174,50.0
1.207743,32.0
1.216825,50.0
1.225569,50.0
1.234624,50.0
1.2492,50.0
1.263872,50.0
1.278269,49.0
1.293053,50.0
1.307953,50.0
1.314337,20.0
1.329151,50.0
1.339019,42.0
1.348075,50.0
1.357186,50.0
1.366275,50.0
1.373677,38.0
1.382511,50.0
1.391958,50.0
1.400732,48.0
1.407603,36.0
1.416712,50.0
1.426566,50.0
1.436406,50.0
1.445853,50.0
1.454994,50.0
1.461054,34.0
1.470111,50.0
1.479236,50.0
1.488329,50.0
1.497411,50.0
1.507429,50.0
1.51511,39.0
1.524537,50.0
1.535646,50.0
1.547902,50.0
1.556819,50.0
1.565694,50.0
1.574474,50.0
1.578455,22.0
1.584978,37.0
1.594289,50.0
1.603466,50.0
1.610874,36.0
1.620032,50.0
1.628731,46.0
1.637844,50.0
1.646941,50.0
1.656067,50.0
1.663529,40.0
1.672689,50.0
1.681807,50.0
1.690879,50.0
1.700026,50.0
1.708247,44.0
1.714679,34.0
1.720572,33.0
1.728662,44.0
1.737909,50.0
1.742405,25.0
1.7515,50.0
1.760612,50.0
1.769521,49.0
1.777252,44.0
1.785526,45.0
1.794634,50.0
1.804786,45.0
1.813873,50.0
1.822649,50.0
1.831372,50.0
1.838739,38.0
1.843224,25.0
1.852674,50.0
1.861736,50.0
1.872266,50.0
1.879537,38.0
1.888826,50.0
1.897983,50.0
1.907216,50.0
1.913788,33.0
1.922922,50.0
1.932031,50.0
1.940981,50.0
1.950449,50.0
1.959527,50.0
1.969142,50.0
1.978729,50.0
1.988233,50.0
1.997609,50.0
2.006726,50.0
2.014344,42.0
2.024994,42.0
2.040018,50.0
2.047802,24.0
2.062022,50.0
2.070813,50.0
2.079341,48.0
2.088516,50.0
2.097666,50.0
2.106396,50.0
2.113454,39.0
2.123482,50.0
2.132633,50.0
2.143376,50.0
2.152643,50.0
2.162333,50.0
2.168931,37.0
2.178395,50.0
2.187151,50.0
2.196627,50.0
2.204504,45.0
2.21331,50.0
2.222659,50.0
2.231389,50.0
2.240637,50.0
2.245976,29.0
2.255065,50.0
2.261867,36.0
2.268926,38.0
2.277933,50.0
2.286658,50.0
2.2957,50.0
2.302387,38.0
2.311479,50.0
2.320042,49.0
2.329144,50.0
2.336489,42.0
2.345546,50.0
2.353626,44.0
2.36167,44.0
2.370723,50.0
2.37976,50.0
2.38889,50.0
2.397627,50.0
2.404957,40.0
2.413637,50.0
2.423192,50.0
2.431983,50.0
2.441317,50.0
2.445695,24.0
2.454261,49.0
2.461992,39.0
2.471088,50.0
2.480569,50.0
2.489106,46.0
2.498005,49.0
2.506936,50.0
2.515613,43.0
2.53098,50.0
2.543543,50.0
2.555775,50.0
2.570765,50.0
2.585682,50.0
2.601253,50.0
2.616411,50.0
2.628393,50.0
2.637233,50.0
2.646537,50.0
2.656491,50.0
2.667166,50.0
2.671694,21.0
2.682392,50.0
2.691907,50.0
2.701448,50.0
2.710973,50.0
2.720969,50.0
2.730265,50.0
2.74027,50.0
2.749217,50.0
2.75914,50.0
2.769181,50.0
2.778257,40.0
2.788236,50.0
2.798647,50.0
2.807576,43.0
2.815363,41.0
2.824452,46.0
2.833795,50.0
2.844149,50.0
2.849015,27.0
2.859047,50.0
2.868961,50.0
2.87862,50.0
2.888867,50.0
2.898869,50.0
2.914326,50.0
2.927736,45.0
2.942648,50.0
2.956622,45.0
2.971494,50.0
2.986287,50.0
3.001272,50.0
3.011882,35.0
3.027269,50.0
3.04211,50.0
3.056894,50.0
3.066794,32.0
3.081043,48.0
3.095881,50.0
3.11068,50.0
3.123787,43.0
3.138878,50.0
3.153634,50.0
3.16875,50.0
3.18123,40.0
3.19622,50.0
3.211138,50.0
3.226143,50.0
3.241276,50.0
3.256311,50.0
3.269353,42.0
3.284403,50.0
3.299455,50.0
3.313895,48.0
3.323491,49.0
3.333321,50.0
3.343029,50.0
3.35282,50.0
3.362337,50.0
3.371699,50.0
3.381044,50.0
3.391145,50.0
3.400658,50.0
3.41075,50.0
3.420054,50.0
3.428855,48.0
3.434342,28.0
3.444158,50.0
3.45848,50.0
3.464712,34.0
3.479508,50.0
3.495172,50.0
3.510411,50.0
3.525334,50.0
3.541054,50.0
3.556301,50.0
3.571458,50.0
3.586523,50.0
3.602141,50.0
3.617264,50.0
3.632243,50.0
3.64724,50.0
3.659512,39.0
3.674464,50.0
3.689562,50.0
3.702219,40.0
3.717446,50.0
3.730673,50.0
3.739338,49.0
3.748755,50.0
3.757978,50.0
3.767335,50.0
3.776283,50.0
3.785665,50.0
3.797862,50.0
3.811227,50.0
3.820132,50.0
3.830289,50.0
3.839256,50.0
3.849165,50.0
3.853758,25.0
3.863291,50.0
3.872889,50.0
3.882471,50.0
3.891857,50.0
3.900781,50.0
3.909527,46.0
3.919172,50.0
3.929724,50.0
3.933679,20.0
3.943406,50.0
3.952433,50.0
3.961897,50.0
3.970974,50.0
3.97766,35.0
3.987646,50.0
3.996738,50.0
4.006207,50.0
4.015621,50.0
4.025497,50.0
4.035538,50.0
4.04531,50.0
4.055358,50.0
4.064379,50.0
4.073696,50.0
4.0827,50.0
4.091917,50.0
4.101138,50.0
4.110312,50.0
4.119414,50.0
4.128354,50.0
4.141802,48.0
4.156869,50.0
4.171683,48.0
4.18102,50.0
4.189865,50.0
4.198896,50.0
4.207807,50.0
4.216864,50.0
4.225862,50.0
4.234978,50.0
4.243937,50.0
4.25563,50.0
4.270434,50.0
4.285879,50.0
4.300762,50.0
4.315649,50.0
4.330541,50.0
4.345874,50.0
4.356309,35.0
4.371132,50.0
4.381986,35.0
4.394788,50.0
4.401774,34.0
4.410991,50.0
4.420466,50.0
4.428412,40.0
4.438135,50.0
4.447193,50.0
4.460823,47.0
4.475595,50.0
4.490362,50.0
4.506071,50.0
4.52149,50.0
4.536413,50.0
4.55144,50.0
4.566801,50.0
4.582039,50.0
4.593947,50.0
4.603203,50.0
4.612967,50.0
4.622678,50.0
4.630201,36.0
4.640388,50.0
4.648504,43.0
4.658228,50.0
4.665421,40.0
4.674968,50.0
4.684066,50.0
4.693343,50.0
4.702703,50.0
4.707483,24.0
4.714275,38.0
4.723881,50.0
4.734903,50.0
4.744735,48.0
4.753179,43.0
4.763251,50.0
4.770851,39.0
4.778226,36.0
4.788255,50.0
4.796803,41.0
4.807178,50.0
4.816555,50.0
4.825537,50.0
4.832316,33.0
4.84124,50.0
4.85446,50.0
4.866374,50.0
4.875635,50.0
4.885264,50.0
4.894671,50.0
4.90423,50.0
4.911202,37.0
4.920882,50.0
4.930361,50.0
4.945862,50.0
4.956641,50.0
4.96816,50.0
4.981756,50.0
4.990909,50.0
4.999949,50.0
5.009223,50.0
5.018457,50.0
5.027365,50.0
5.036642,50.0
5.045568,49.0
5.050984,29.0
5.060109,50.0
5.069285,50.0
5.078462,50.0
5.088701,50.0
5.098747,50.0
5.110307,50.0
5.125256,50.0
5.140823,50.0
5.155676,50.0
5.170318,49.0
5.185684,50.0
5.200978,50.0
5.21595,50.0
5.230893,50.0
5.246263,50.0
5.261206,50.0
5.276056,50.0
5.290947,50.0
5.306295,50.0
5.317697,38.0
5.331187,50.0
5.340413,50.0
5.34956,50.0
5.363928,50.0
5.378856,50.0
