Elapsed,Reward
0.015296,12.0
0.024877,20.0
0.032039,13.0
0.052243,50.0
0.063825,28.0
0.072348,19.0
0.080398,16.0
0.087216,12.0
0.095301,15.0
0.114969,50.0
0.122253,13.0
0.129095,12.0
0.145322,40.0
0.155241,23.0
0.162575,15.0
0.177846,39.0
0.184528,12.0
0.195069,24.0
0.201295,11.0
0.215984,37.0
0.228153,29.0
0.235553,15.0
0.240686,10.0
0.249017,18.0
0.254641,11.0
0.266245,28.0
0.275564,21.0
0.287176,26.0
0.298005,23.0
0.308333,22.0
0.327909,50.0
0.334677,12.0
0.340489,9.0
0.349803,19.0
0.365496,38.0
0.379532,33.0
0.390186,23.0
0.399121,18.0
0.405239,10.0
0.417361,27.0
0.431284,32.0
0.439183,27.0
0.446182,26.0
0.457059,46.0
0.460928,12.0
0.468,28.0
0.472701,15.0
0.478569,22.0
0.490307,50.0
0.4955,19.0
0.500435,15.0
0.506027,21.0
0.510748,14.0
0.517111,25.0
0.522836,22.0
0.527288,13.0
0.53646,37.0
0.541373,16.0
0.548992,27.0
0.556709,28.0
0.564645,29.0
0.573238,31.0
0.58575,50.0
0.59796,50.0
0.605393,29.0
0.612955,26.0
0.619491,23.0
0.624663,17.0
0.629501,16.0
0.63408,14.0
0.64052,21.0
0.646358,19.0
0.658377,50.0
0.669027,42.0
0.674484,18.0
0.68608,50.0
0.69777,50.0
0.705609,30.0
0.718174,50.0
0.727159,36.0
0.733893,24.0
0.741232,28.0
0.753604,50.0
0.762161,28.0
0.773849,23.0
0.789154,50.0
0.798222,29.0
0.806153,27.0
0.816301,38.0
0.823987,31.0
0.841744,50.0
0.857923,45.0
0.866932,30.0
0.873413,13.0
0.888986,50.0
0.9095,50.0
0.929583,50.0
0.938107,16.0
0.953722,37.0
0.968224,35.0
0.977016,18.0
0.991525,33.0
1.001835,23.0
1.016664,36.0
1.037136,50.0
1.054545,43.0
1.073624,50.0
1.094021,50.0
1.114309,50.0
1.130037,39.0
1.145495,37.0
1.165547,50.0
1.185194,50.0
1.203286,44.0
1.223264,50.0
1.234084,24.0
1.241359,14.0
1.261383,50.0
1.281783,50.0
1.294464,50.0
1.301188,24.0
1.312805,50.0
1.324721,50.0
1.336373,50.0
1.348333,50.0
1.360285,50.0
1.370677,44.0
1.382561,50.0
1.394132,50.0
1.401778,28.0
1.411169,39.0
1.423194,50.0
1.432812,38.0
1.443891,46.0
1.456203,50.0
1.467973,50.0
1.479916,50.0
1.491184,45.0
1.498285,27.0
1.506684,30.0
1.518303,50.0
1.530604,50.0
1.542909,50.0
1.554943,50.0
1.566843,50.0
1.578829,50.0
1.587117,31.0
1.594615,27.0
1.606596,50.0
1.619263,50.0
1.63176,50.0
1.639653,29.0
1.651683,50.0
1.663476,50.0
1.675455,50.0
1.687836,50.0
1.700015,50.0
1.711845,50.0
1.723935,50.0
1.733957,39.0
1.742791,34.0
1.754575,50.0
1.766677,50.0
1.777279,42.0
1.786839,37.0
1.798433,50.0
1.815528,50.0
1.828138,50.0
1.840289,50.0
1.850421,41.0
1.862262,45.0
1.871382,36.0
1.883387,50.0
1.895784,50.0
1.907101,50.0
1.91559,32.0
1.926902,50.0
1.935561,35.0
1.944113,36.0
1.955734,50.0
1.966963,50.0
1.978572,50.0
1.988632,44.0
2.000549,50.0
2.012971,50.0
2.024234,50.0
2.036007,50.0
2.047597,50.0
2.054365,27.0
2.065931,50.0
2.077188,50.0
2.088813,50.0
2.100533,50.0
2.112583,48.0
2.124818,50.0
2.134352,39.0
